# ExperimentSet [id=resultsExperiments/timelinessDisruption/V4E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=4, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C1,408405954,250.0,473.81766,223.81766,377.3801,127.3801,4888.487,5497.2915,6770.148,4708.144,3336.5342,3336.5342,3336.5342,2062.004,608.8047
C2,707954076,250.0,474.20526,224.20526,334.29266,84.29266,3501.4578,3892.2134,6362.3643,3827.9375,2206.798,2206.7979,2206.7979,2534.4268,390.75586
C2,698709310,250.0,580.7967,330.7967,566.2931,316.2931,5295.287,6847.5435,7133.3374,4785.6797,2355.0852,2355.0852,2355.0852,2347.6575,1552.2561
C1,286052801,250.0,397.58694,147.58694,346.03336,96.033356,2837.4998,2950.7158,3510.9653,2895.8994,1905.0979,1905.0979,1905.0979,615.0659,113.216064
C2,-190541709,250.0,652.7452,402.74518,615.9042,365.90417,7813.679,10960.027,12005.856,6397.0054,2954.9177,2954.918,2954.9175,5608.8506,3146.3477
C1,-763205672,250.0,731.46375,481.46375,586.54974,336.54974,5464.2104,7775.301,10457.171,4404.528,2305.1602,2305.1602,2305.1602,6052.643,2311.0903
C1,-1512022076,250.0,733.13153,483.13153,657.18976,407.18976,11571.472,14303.827,16288.488,8387.81,4071.3076,4071.3076,4071.3076,7900.6787,2732.3555
C3,-2041392862,250.0,810.1549,560.1549,808.96387,558.96387,8857.522,12519.387,12544.798,7620.488,2992.677,2992.6772,2992.6772,4924.3105,3661.8633
C2,-1124915830,250.0,405.94226,155.94226,384.33112,134.33112,4264.933,4884.539,5161.74,4360.8877,2852.2144,2852.2144,2852.2144,800.85254,619.60596
C1,174823762,250.0,392.58615,142.58615,385.61658,135.61658,3778.9573,4255.0093,4344.572,3542.9119,2118.6443,2118.6443,2118.6443,801.6599,476.052
C3,-1668190253,250.0,649.1326,399.13263,643.42224,393.42224,8110.4004,11325.595,11437.266,7119.2354,2703.7588,2703.7588,2703.7588,4318.0303,3215.1943
C2,1799436767,250.0,456.28305,206.28305,353.1751,103.17511,3396.5132,3712.6333,4953.054,3372.547,2043.7937,2043.794,2043.7938,1580.507,316.11987
C2,-1555590367,250.0,766.56,516.56,644.6695,394.6695,8129.975,11417.744,14073.698,6831.405,2749.2434,2749.2432,2749.2434,7242.294,3287.7695
C1,650433521,250.0,467.25974,217.25974,472.88986,222.88986,7242.2305,8636.321,8505.109,5842.0073,3366.5808,3366.5808,3366.5808,2663.1018,1394.0906
C2,-648533003,250.0,405.6068,155.60681,320.3001,70.30011,3265.353,3394.975,4502.0625,3604.0767,2667.7842,2667.7842,2667.7842,897.98584,129.62207
C3,412928697,250.0,775.3946,525.3946,527.77985,277.77985,7946.546,11037.247,16164.45,8398.814,3364.3577,3364.3577,3364.3577,7765.6357,3090.7012
C1,952822115,250.0,680.1195,430.1195,420.90918,170.90918,4927.853,5803.969,11039.268,5597.2896,2705.765,2705.765,2705.7651,5441.9785,876.1162
C3,-1720755923,250.0,786.611,536.611,780.0524,530.0524,8746.282,14135.234,14271.171,9024.769,3655.433,3655.433,3655.4333,5246.4033,5388.9517
C1,713249548,250.0,479.3119,229.31189,409.18475,159.18475,4073.5881,4663.8447,5939.242,4311.137,2481.4766,2481.4768,2481.4768,1628.105,590.25635
C2,826247555,250.0,444.61862,194.61862,355.17096,105.17096,3655.56,3865.293,5111.2227,3834.296,2652.0317,2652.0317,2652.0317,1276.9268,209.73291
C1,785368874,250.0,520.1819,270.1819,497.44412,247.44412,7252.535,8203.858,8508.278,5606.4253,3676.181,3676.1807,3676.1807,2901.853,951.3235
C3,1006981601,250.0,932.2848,682.2848,930.5645,680.5645,8958.751,14891.025,14925.656,7343.648,2557.308,2557.308,2557.308,7582.008,5932.274
C1,114827670,250.0,441.8175,191.8175,406.23883,156.23883,4899.465,5465.8853,6197.6836,4580.221,3064.7883,3064.7883,3064.7883,1617.4624,566.4204
C3,316430616,250.0,703.2366,453.23657,625.8262,375.82617,9302.361,13023.682,14208.555,9319.453,4196.065,4196.0654,4196.065,4889.101,3721.3198
C2,-406689046,250.0,560.5758,310.5758,493.67258,243.67258,6226.9453,7813.0186,9045.964,5439.7886,3268.8833,3268.8835,3268.8833,3606.1748,1586.0728
C2,-9578651,250.0,426.78528,176.78528,380.98203,130.98203,4154.1655,4859.996,5586.5977,4133.413,2588.5547,2588.5547,2588.5547,1453.1846,705.83057
C1,103950130,250.0,824.5509,574.5509,633.29224,383.29224,8007.382,10635.291,15480.051,5934.893,2331.7659,2331.7656,2331.7659,9545.158,2627.9092
C1,428964495,250.0,431.7862,181.7862,392.7295,142.72949,4302.8564,4805.5317,5244.9688,3952.4688,2357.1514,2357.1516,2357.1514,1292.4998,502.67505
C1,277769676,250.0,816.0478,566.0478,668.03674,418.03674,9314.476,12761.296,15325.67,8983.461,3582.9805,3582.9805,3582.9805,6342.209,3446.8203
C2,1602222556,250.0,440.69702,190.69702,429.92203,179.92203,4931.2305,6582.559,6771.7363,4514.2163,2713.0044,2713.0044,2713.0044,2257.52,1651.3286
C3,1124888674,250.0,633.6709,383.6709,580.8374,330.8374,5369.3755,7925.1895,8994.791,5413.117,2536.775,2536.775,2536.775,3581.6738,2555.814
C2,-612012627,250.0,482.67914,232.67914,363.1808,113.180786,4975.5205,5257.0835,7082.377,5249.543,3317.1519,3317.1519,3317.1519,1832.834,281.563
C1,1996655901,250.0,831.6814,581.6814,812.20374,562.20374,9068.809,15223.024,15662.764,6704.7207,3148.3467,3148.3472,3148.3467,8958.042,6154.216
C2,-1298180151,250.0,508.62006,258.62006,303.89575,53.895752,3297.7515,3401.2974,6888.5566,3913.0107,2691.6768,2691.6768,2691.6768,2975.546,103.5459
C3,80545937,250.0,468.27252,218.27252,452.22717,202.22717,5297.301,5931.566,6110.8574,5009.789,3021.576,3021.5762,3021.5762,1101.0684,634.2649
C1,-712186726,250.0,406.68713,156.68713,339.31192,89.31192,3962.038,4131.911,5154.9707,3960.596,2708.1184,2708.1184,2708.1187,1194.375,169.87305
C1,1734157801,250.0,496.9034,246.90341,425.36945,175.36945,5451.3955,6470.9297,7539.8,5077.7817,3384.727,3384.727,3384.7268,2462.0178,1019.5342
C1,1758599912,250.0,742.9113,492.91132,703.3931,453.39313,8393.872,12669.061,13358.156,7977.354,3024.5361,3024.536,3024.5356,5380.802,4275.1885
C1,1220024408,250.0,693.12244,443.12244,697.0457,447.04572,8289.924,12290.268,12202.87,6423.169,2862.3467,2862.3464,2862.3467,5779.701,4000.3438
C3,110083800,250.0,818.9275,568.9275,817.7596,567.7596,8896.473,14054.271,14064.865,7768.8906,2888.677,2888.6768,2888.6768,6295.9746,5157.799
C1,-2135800093,250.0,410.57214,160.57214,354.7634,104.7634,4246.6743,4526.1387,5300.086,4201.9673,2825.2988,2825.2988,2825.299,1098.1189,279.46436
C1,1702456891,250.0,553.07654,303.07654,324.29218,74.292175,3500.8623,3708.6821,8729.408,4416.498,2380.7056,2380.7056,2380.7056,4312.91,207.81982
C3,-503307268,250.0,565.11334,315.11334,552.8405,302.8405,5478.469,7328.868,7590.8945,5188.869,2472.5457,2472.5457,2472.5457,2402.0251,1850.3987
C2,1213087600,250.0,739.8746,489.87457,595.626,345.62598,7656.2104,10956.635,13937.238,6827.6655,3395.2039,3395.2039,3395.2039,7109.5723,3300.4238
C3,-1081705337,250.0,831.61176,581.61176,826.43634,576.43634,10546.119,15772.496,15861.504,9805.2,3081.6377,3081.6375,3081.6375,6056.3037,5226.377
C1,-2965150,250.0,504.5411,254.5411,468.87186,218.87186,4353.976,5663.13,6346.0176,3697.9146,2214.1943,2214.1943,2214.1943,2648.103,1309.1538
C1,-1128452549,250.0,436.47726,186.47726,434.18152,184.18152,4579.161,6077.932,6110.797,4426.625,2984.9272,2984.9272,2984.9272,1684.1719,1498.771
C2,-528027027,250.0,399.6963,149.69629,346.4367,96.43671,4417.124,4531.2188,5074.455,4456.6035,3519.6235,3519.6235,3519.6238,617.8518,114.09473
C2,1980218242,250.0,718.1487,468.14868,528.61005,278.61005,6713.382,8733.105,11723.932,6064.5137,3034.398,3034.398,3034.398,5659.4175,2019.7236
C2,-1577489105,250.0,543.9387,293.93872,380.54977,130.54977,4678.7217,5038.0684,7750.4297,4556.6533,2942.2385,2942.2385,2942.239,3193.777,359.34668
C2,468501319,250.0,492.57257,242.57257,422.70706,172.70706,5561.411,6227.032,7338.666,4670.6094,3356.964,3356.964,3356.964,2668.0566,665.6211
C1,-1869548146,250.0,443.9253,193.9253,360.04395,110.043945,3483.5327,3844.4197,5010.183,3418.9092,2366.728,2366.728,2366.728,1591.2739,360.88696
C3,-1409282735,250.0,704.4504,454.45038,718.61554,468.61554,6846.9653,11281.698,10959.636,5218.9595,2578.2607,2578.2607,2578.2605,5740.676,4434.733
C1,159747449,250.0,518.608,268.60797,520.47925,270.47925,4875.3184,6536.6694,6515.335,4006.537,2316.4104,2316.4104,2316.4102,2508.7979,1661.3508
C2,2084122642,250.0,401.08405,151.08405,349.2571,99.25711,4286.8623,4470.183,5326.476,4076.555,2951.9766,2951.9766,2951.977,1249.9216,183.3208
C3,176527414,250.0,502.47708,252.47708,481.22324,231.22324,6555.0713,7194.1953,7622.5493,6497.627,2955.383,2955.383,2955.3833,1124.9224,639.12427
C3,1949557543,250.0,662.1359,412.13593,510.50305,260.50305,6617.762,8453.011,11774.594,7395.525,3343.4465,3343.4465,3343.4465,4379.0693,1835.2488
C2,-2124536784,250.0,495.21875,245.21875,447.84927,197.84927,6343.4966,7398.424,8097.5913,5765.0273,3979.4688,3979.4688,3979.4688,2332.564,1054.9272
C2,-1402574388,250.0,458.57513,208.57513,457.37888,207.37888,5530.031,6434.4844,6451.7573,4828.0674,3121.7637,3121.7637,3121.7637,1623.69,904.4536
C2,357533351,250.0,430.7132,180.7132,417.28415,167.28415,5267.8633,6005.648,6228.1045,4688.7515,3226.66,3226.6597,3226.66,1539.3533,737.7849
C2,-745000173,250.0,445.3659,195.3659,397.39398,147.39398,3975.6943,4627.163,5392.4976,3363.707,2317.05,2317.05,2317.05,2028.7905,651.46875
C1,119658930,250.0,442.35223,192.35223,315.70102,65.70102,3068.5815,3135.7153,5384.711,3367.461,2105.5068,2105.5068,2105.5068,2017.25,67.13379
C1,-47748695,250.0,603.49146,353.49146,592.5494,342.54938,6625.959,8795.798,8984.073,5362.277,2723.076,2723.076,2723.076,3621.7961,2169.8386
C2,732230767,250.0,678.8189,428.8189,576.86554,326.86554,6241.632,8579.009,10930.88,4965.768,2140.749,2140.749,2140.749,5965.112,2337.377
C1,-286604446,250.0,473.05,223.04999,464.80237,214.80237,4804.3516,5919.6973,6050.1055,3956.2385,2733.7317,2733.7317,2733.7317,2093.867,1115.3457
C2,-1058345380,250.0,601.88513,351.88513,574.50195,324.50195,6474.9326,8539.965,9099.8545,5643.7886,2673.413,2673.4128,2673.413,3456.066,2065.0322
C1,2097610983,250.0,470.06683,220.06683,326.55045,76.550446,2840.8215,2867.826,4410.2285,3290.2192,2280.5603,2280.5605,2280.5603,1120.009,27.00415
C1,408255009,250.0,414.24362,164.24362,407.04623,157.04623,5581.2393,6026.078,6110.493,5046.64,3811.4385,3811.4385,3811.4385,1063.853,444.83887
C1,117000257,250.0,703.2699,453.2699,684.47345,434.47345,6755.1235,8133.644,8361.745,4911.0264,3104.793,3104.793,3104.793,3450.7188,1378.5205
C2,-681037470,250.0,410.62866,160.62866,309.5677,59.567688,4371.5215,4545.243,5804.881,4811.618,3403.6772,3403.6772,3403.6772,993.2627,173.72168
